1765908736.348951 server started (26601): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1765908736.348989 on Linux 6.17.9-arch1-1 #1 SMP PREEMPT_DYNAMIC Mon, 24 Nov 2025 15:21:09 +0000
1765908736.348999 using libevent 2.1.12-stable poll
1765908736.349003 using ncurses 6.5 20240427
1765908736.349169 input_key_build: 0x10e003 (PasteStart) is \033[200~
1765908736.349175 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1765908736.349180 input_key_build: 0x10e25b (F1) is \033OP
1765908736.349184 input_key_build: 0x10e25c (F2) is \033OQ
1765908736.349187 input_key_build: 0x10e25d (F3) is \033OR
1765908736.349191 input_key_build: 0x10e25e (F4) is \033OS
1765908736.349194 input_key_build: 0x10e25f (F5) is \033[15~
1765908736.349198 input_key_build: 0x10e260 (F6) is \033[17~
1765908736.349201 input_key_build: 0x10e261 (F7) is \033[18~
1765908736.349205 input_key_build: 0x10e262 (F8) is \033[19~
1765908736.349208 input_key_build: 0x10e263 (F9) is \033[20~
1765908736.349212 input_key_build: 0x10e264 (F10) is \033[21~
1765908736.349215 input_key_build: 0x10e265 (F11) is \033[23~
1765908736.349222 input_key_build: 0x10e266 (F12) is \033[24~
1765908736.349226 input_key_build: 0x10e267 (IC) is \033[2~
1765908736.349229 input_key_build: 0x10e268 (DC) is \033[3~
1765908736.349233 input_key_build: 0x10e269 (Home) is \033[1~
1765908736.349236 input_key_build: 0x10e26a (End) is \033[4~
1765908736.349241 input_key_build: 0x10e26b (NPage) is \033[6~
1765908736.349249 input_key_build: 0x10e26c (PPage) is \033[5~
1765908736.349264 input_key_build: 0x10e26d (BTab) is \033[Z
1765908736.349271 input_key_build: 0x10e26e (Up) is \033[A
1765908736.349277 input_key_build: 0x10e26f (Down) is \033[B
1765908736.349283 input_key_build: 0x10e270 (Left) is \033[D
1765908736.349289 input_key_build: 0x10e271 (Right) is \033[C
1765908736.349295 input_key_build: 0x10e272 (KP/) is /
1765908736.349301 input_key_build: 0x10e273 (KP*) is *
1765908736.349307 input_key_build: 0x10e274 (KP-) is -
1765908736.349313 input_key_build: 0x10e275 (KP7) is 7
1765908736.349319 input_key_build: 0x10e276 (KP8) is 8
1765908736.349324 input_key_build: 0x10e277 (KP9) is 9
1765908736.349330 input_key_build: 0x10e278 (KP+) is +
1765908736.349336 input_key_build: 0x10e279 (KP4) is 4
1765908736.349342 input_key_build: 0x10e27a (KP5) is 5
1765908736.349348 input_key_build: 0x10e27b (KP6) is 6
1765908736.349353 input_key_build: 0x10e27c (KP1) is 1
1765908736.349359 input_key_build: 0x10e27d (KP2) is 2
1765908736.349365 input_key_build: 0x10e27e (KP3) is 3
1765908736.349379 input_key_build: 0x10e27f (KPEnter) is \n
1765908736.349386 input_key_build: 0x10e280 (KP0) is 0
1765908736.349393 input_key_build: 0x10e281 (KP.) is .
1765908736.349403 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1765908736.349411 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1765908736.349418 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1765908736.349425 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1765908736.349432 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1765908736.349438 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1765908736.349445 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1765908736.349451 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1765908736.349458 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1765908736.349465 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1765908736.349472 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1765908736.349479 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1765908736.349486 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1765908736.349493 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1765908736.349500 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1765908736.349506 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1765908736.349514 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1765908736.349520 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1765908736.349527 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1765908736.349534 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1765908736.349552 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1765908736.349559 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1765908736.349567 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1765908736.349574 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1765908736.349581 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1765908736.349588 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1765908736.349595 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1765908736.349602 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1765908736.349609 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1765908736.349615 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1765908736.349622 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1765908736.349629 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1765908736.349636 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1765908736.349643 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1765908736.349650 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1765908736.349657 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1765908736.349663 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1765908736.349670 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1765908736.349677 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1765908736.349684 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1765908736.349690 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1765908736.349697 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1765908736.349703 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1765908736.349711 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1765908736.349718 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1765908736.349724 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1765908736.349731 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1765908736.349738 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1765908736.349745 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1765908736.349752 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1765908736.349759 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1765908736.349766 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1765908736.349772 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1765908736.349779 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1765908736.349790 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1765908736.349798 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1765908736.349804 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1765908736.349811 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1765908736.349818 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1765908736.349825 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1765908736.349832 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1765908736.349840 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1765908736.349847 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1765908736.349854 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1765908736.349862 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1765908736.349869 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1765908736.349877 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1765908736.349884 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1765908736.349892 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1765908736.349899 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1765908736.349907 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1765908736.349913 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1765908736.349920 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1765908736.349927 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1765908736.349935 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1765908736.349942 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1765908736.349949 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1765908736.349964 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1765908736.349972 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1765908736.349979 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1765908736.349986 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1765908736.349993 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1765908736.349999 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1765908736.350008 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1765908736.350015 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1765908736.350022 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1765908736.350028 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1765908736.350037 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1765908736.350045 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1765908736.350052 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1765908736.350061 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1765908736.350071 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1765908736.350081 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1765908736.350090 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1765908736.350096 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1765908736.350103 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1765908736.350111 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1765908736.350118 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1765908736.350128 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1765908736.350149 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1765908736.350158 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1765908736.350162 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1765908736.350166 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1765908736.350170 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1765908736.350174 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1765908736.350178 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1765908736.350182 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1765908736.350186 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1765908736.350190 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1765908736.350194 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1765908736.350198 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1765908736.350202 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1765908736.350206 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1765908736.350210 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1765908736.350214 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1765908736.350218 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1765908736.350222 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1765908736.350226 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1765908736.350229 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
